chunk_id,parent_doc_id,source_type,title,year,statement_type,note_number,section_type,chunk_index,chunk_count,chunk_text_length
2020_note_2_1_chunk_9,2020_note_2_1,note_block,2. 중요한 회계처리방침:,2020,,2,,9,14,1212
2020_note_2_1_chunk_10,2020_note_2_1,note_block,2. 중요한 회계처리방침:,2020,,2,,10,14,1279
2020_note_2_1_chunk_11,2020_note_2_1,note_block,2. 중요한 회계처리방침:,2020,,2,,11,14,1316
2020_note_2_1_chunk_12,2020_note_2_1,note_block,2. 중요한 회계처리방침:,2020,,2,,12,14,1279
2020_note_2_1_chunk_13,2020_note_2_1,note_block,2. 중요한 회계처리방침:,2020,,2,,13,14,696
2020_note_3_2_chunk_0,2020_note_3_2,note_block,3. 중요한 회계추정 및 가정:,2020,,3,,0,3,1083
2020_note_3_2_chunk_1,2020_note_3_2,note_block,3. 중요한 회계추정 및 가정:,2020,,3,,1,3,1315
2020_note_3_2_chunk_2,2020_note_3_2,note_block,3. 중요한 회계추정 및 가정:,2020,,3,,2,3,724
2020_note_5_3_chunk_0,2020_note_5_3,note_block,5. 금융자산의 양도:,2020,,5,,0,1,263
2020_note_6_4_chunk_0,2020_note_6_4,note_block,6. 공정가치금융자산:,2020,,6,,0,1,267
2020_note_7_5_chunk_0,2020_note_7_5,note_block,7. 매출채권 및 미수금:,2020,,7,,0,1,364
2020_note_8_6_chunk_0,2020_note_8_6,note_block,8. 재고자산 :,2020,,8,,0,1,136
2020_note_9_7_chunk_0,2020_note_9_7,note_block,"9. 종속기업, 관계기업 및 공동기업 투자:",2020,,9,,0,1,257
2020_note_10_8_chunk_0,2020_note_10_8,note_block,10. 유형자산 :,2020,,10,,0,1,708
2020_note_12_9_chunk_0,2020_note_12_9,note_block,12. 차입금:,2020,,12,,0,1,81
2020_note_13_10_chunk_0,2020_note_13_10,note_block,13. 사채:,2020,,13,,0,1,559
2020_note_16_11_chunk_0,2020_note_16_11,note_block,16. 우발부채와 약정사항:,2020,,16,,0,1,783
2020_note_17_12_chunk_0,2020_note_17_12,note_block,17. 계약부채:,2020,,17,,0,1,90
2020_note_18_13_chunk_0,2020_note_18_13,note_block,18. 자본금:,2020,,18,,0,1,287
2020_note_19_14_chunk_0,2020_note_19_14,note_block,19. 이익잉여금:,2020,,19,,0,1,276
2020_note_20_15_chunk_0,2020_note_20_15,note_block,20. 기타자본항목:,2020,,20,,0,1,44
2020_note_21_16_chunk_0,2020_note_21_16,note_block,21. 비용의 성격별 분류:,2020,,21,,0,1,50
2020_note_22_17_chunk_0,2020_note_22_17,note_block,22. 판매비와관리비:,2020,,22,,0,1,45
2020_note_23_18_chunk_0,2020_note_23_18,note_block,23. 기타수익,2020,,23,,0,1,53
2020_note_24_19_chunk_0,2020_note_24_19,note_block,24. 금융수익 및 금융비용:,2020,,24,,0,1,104
2020_note_25_20_chunk_0,2020_note_25_20,note_block,25. 법인세비용:,2020,,25,,0,1,235
2020_note_26_21_chunk_0,2020_note_26_21,note_block,26. 주당이익:,2020,,26,,0,1,142
2020_note_27_22_chunk_0,2020_note_27_22,note_block,27. 현금흐름표:,2020,,27,,0,1,518
2020_note_28_23_chunk_0,2020_note_28_23,note_block,28. 재무위험관리:,2020,,28,,0,5,1046
2020_note_28_23_chunk_1,2020_note_28_23,note_block,28. 재무위험관리:,2020,,28,,1,5,1297
2020_note_28_23_chunk_2,2020_note_28_23,note_block,28. 재무위험관리:,2020,,28,,2,5,1318
2020_note_28_23_chunk_3,2020_note_28_23,note_block,28. 재무위험관리:,2020,,28,,3,5,1301
2020_note_28_23_chunk_4,2020_note_28_23,note_block,28. 재무위험관리:,2020,,28,,4,5,438
2020_note_29_24_chunk_0,2020_note_29_24,note_block,29. 부문별 보고:,2020,,29,,0,1,335
2020_note_30_25_chunk_0,2020_note_30_25,note_block,30. 특수관계자와의 거래:,2020,,30,,0,1,894
2020_balance_sheet_chunk_0,2020_balance_sheet,normalized_table,balance_sheet,2020,balance_sheet,,,0,2,1186
2020_balance_sheet_chunk_1,2020_balance_sheet,normalized_table,balance_sheet,2020,balance_sheet,,,1,2,950
2020_income_statement_chunk_0,2020_income_statement,normalized_table,income_statement,2020,income_statement,,,0,1,670
2020_comprehensive_income_chunk_0,2020_comprehensive_income,normalized_table,comprehensive_income,2020,comprehensive_income,,,0,1,370
2020_changes_in_equity_prior_period_0_chunk_0,2020_changes_in_equity_prior_period_0,normalized_table,changes_in_equity - prior_period,2020,changes_in_equity,,,0,1,584
2020_changes_in_equity_current_period_1_chunk_0,2020_changes_in_equity_current_period_1,normalized_table,changes_in_equity - current_period,2020,changes_in_equity,,,0,1,576
2020_cash_flow_chunk_0,2020_cash_flow,normalized_table,cash_flow,2020,cash_flow,,,0,2,1176
2020_cash_flow_chunk_1,2020_cash_flow,normalized_table,cash_flow,2020,cash_flow,,,1,2,369
2021_section_0_chunk_0,2021_section_0,main_section,독립된 감사인의 감사보고서,2021,,,auditor_report_title,0,1,14
2021_section_1_chunk_0,2021_section_1,main_section,감사의견,2021,,,opinion,0,1,441
2021_section_2_chunk_0,2021_section_2,main_section,감사의견근거,2021,,,basis_for_opinion,0,1,6
2021_section_3_chunk_0,2021_section_3,main_section,"우리는 대한민국의 회계감사기준에 따라 감사를 수행하였습니다. 이 기준에 따른 우리의 책임은 이 감사보고서의 재무제표감사에 대한 감사인의 책임 단락에 기술되어 있습니다. 우리는 재무제표감사와 관련된 대한민국의 윤리적 요구사항에 따라 회사로부터 독립적이며, 그러한 요구사항에 따른 기타의 윤리적 책임을 이행하였습니다. 우리가 입수한 감사증거가 감사의견을 위한 근거로서 충분하고 적합하다고 우리는 믿습니다.",2021,,,auditor_responsibility,0,1,224
2021_section_4_chunk_0,2021_section_4,main_section,핵심감사사항,2021,,,key_audit_matters,0,2,1066
2021_section_4_chunk_1,2021_section_4,main_section,핵심감사사항,2021,,,key_audit_matters,1,2,332
2021_section_5_chunk_0,2021_section_5,main_section,재무제표감사에 대한 감사인의 책임,2021,,,auditor_responsibility,0,2,1126
2021_section_5_chunk_1,2021_section_5,main_section,재무제표감사에 대한 감사인의 책임,2021,,,auditor_responsibility,1,2,678
2021_section_6_chunk_0,2021_section_6,main_section,(첨부)재 무 제 표,2021,,,attached_financial_statements,0,1,11
2021_section_7_chunk_0,2021_section_7,main_section,주석,2021,,,notes_section,0,18,1193
2021_section_7_chunk_1,2021_section_7,main_section,주석,2021,,,notes_section,1,18,1201
2021_section_7_chunk_2,2021_section_7,main_section,주석,2021,,,notes_section,2,18,1332
2021_section_7_chunk_3,2021_section_7,main_section,주석,2021,,,notes_section,3,18,1265
2021_section_7_chunk_4,2021_section_7,main_section,주석,2021,,,notes_section,4,18,1352
2021_section_7_chunk_5,2021_section_7,main_section,주석,2021,,,notes_section,5,18,1325
2021_section_7_chunk_6,2021_section_7,main_section,주석,2021,,,notes_section,6,18,1299
2021_section_7_chunk_7,2021_section_7,main_section,주석,2021,,,notes_section,7,18,1315
2021_section_7_chunk_8,2021_section_7,main_section,주석,2021,,,notes_section,8,18,1227
2021_section_7_chunk_9,2021_section_7,main_section,주석,2021,,,notes_section,9,18,1073
